id,WallOffset,Xaxis,Yaxis,AVG_Lux,W01,W02,W03
15358,1.2,8.491271,-144.457772,218.709167,8.772246,8.53826,8.5638
15359,1.2,4.840834,-144.457772,343.604167,5.310617,4.914492,4.959286
15360,1.2,1.190397,-144.457772,1351.354167,2.470704,1.433165,1.581688
15361,1.2,15.792144,-143.257491,1373.5975,15.836821,15.82262,15.949356
15362,1.2,12.141708,-143.257491,342.4525,12.196413,12.177968,12.342408
15363,1.2,8.491271,-143.257491,219.823333,8.564547,8.53826,8.771517
15364,1.2,4.840834,-143.257491,341.785,4.960021,4.914492,5.30993
15365,1.2,1.190397,-143.257491,1352.325833,1.582258,1.433166,2.47034
15366,1.2,15.792144,-142.05721,1146.015833,15.814088,15.913411,16.151289
15367,1.2,12.141708,-142.05721,310.118333,12.166881,12.295701,12.602271
15368,1.2,8.491271,-142.05721,210.308333,8.522439,8.705357,9.133548
15369,1.2,4.840834,-142.05721,308.140833,4.886954,5.199383,5.888765
15370,1.2,1.190397,-142.05721,1120.601667,1.335682,2.221557,3.547502
15371,1.3,15.692144,-145.558053,1106.541333,16.033938,15.803035,15.711811
15372,1.3,12.091708,-145.558053,321.962778,12.528872,12.231982,12.11412
15373,1.3,8.491271,-145.558053,206.788333,9.098593,8.685225,8.518749
15374,1.3,4.890834,-145.558053,313.99,5.875581,5.2126,4.930777
15375,1.3,1.290397,-145.558053,1085.186667,3.49096,2.198986,1.407949
15376,1.3,15.692144,-144.424439,1341.987,15.846645,15.721506,15.738224
15377,1.3,12.091708,-144.424439,347.505833,12.288272,12.126468,12.148357
15378,1.3,8.491271,-144.424439,218.709167,8.764325,8.535982,8.567367
15379,1.3,4.890834,-144.424439,343.604167,5.343356,4.959943,5.014304
15380,1.3,1.290397,-144.424439,1316.755,2.49315,1.505118,1.677201
15381,1.3,15.692144,-143.290824,1342.164,15.738975,15.721506,15.8459
15382,1.3,12.091708,-143.290824,342.4525,12.149107,12.126468,12.287532
15383,1.3,8.491271,-143.290824,219.823333,8.568113,8.535982,8.763596
15384,1.3,4.890834,-143.290824,341.785,5.015039,4.959943,5.342667
15385,1.3,1.290397,-143.290824,1317.835,1.677783,1.505118,2.492759
15386,1.3,15.692144,-142.15721,1101.290667,15.712563,15.803035,16.033201
15387,1.3,12.091708,-142.15721,314.941111,12.114872,12.231982,12.528146
15388,1.3,8.491271,-142.15721,210.895556,8.5195,8.685226,9.097891
15389,1.3,4.890834,-142.15721,313.646111,4.931525,5.2126,5.874955
15390,1.3,1.290397,-142.15721,1076.999333,1.408644,2.198987,3.490681
15391,1.4,15.592144,-145.458053,1106.541333,15.916231,15.693156,15.610907
15392,1.4,12.041708,-145.458053,309.034667,12.455311,12.168957,12.062923
15393,1.4,8.491271,-145.458053,206.788333,9.063902,8.666202,8.516983
15394,1.4,4.940834,-145.458053,301.132,5.863879,5.228175,4.977459
15395,1.4,1.390397,-145.458053,1085.186667,3.439045,2.185354,1.490772
15396,1.4,15.592144,-144.391105,1353.923333,15.743215,15.620448,15.640476
15397,1.4,12.041708,-144.391105,332.201333,12.233445,12.075047,12.101165
15398,1.4,8.491271,-144.391105,219.315,8.756525,8.533833,8.571061
15399,1.4,4.940834,-144.391105,327.109333,5.376568,5.005703,5.069437
15400,1.4,1.390397,-144.391105,1324.858667,2.519809,1.580829,1.773835
15401,1.4,15.592144,-143.324158,1352.96,15.641227,15.620448,15.74247
15402,1.4,12.041708,-143.324158,329.288667,12.101914,12.075047,12.232704
15403,1.4,8.491271,-143.324158,220.128889,8.571807,8.533833,8.755795
15404,1.4,4.940834,-143.324158,327.231333,5.070172,5.005703,5.375875
15405,1.4,1.390397,-143.324158,1326.216667,1.774429,1.580829,2.519392
15406,1.4,15.592144,-142.25721,1101.290667,15.611659,15.693156,15.915494
15407,1.4,12.041708,-142.25721,302.849333,12.063675,12.168957,12.454583
15408,1.4,8.491271,-142.25721,210.895556,8.517734,8.666202,9.063197
15409,1.4,4.940834,-142.25721,301.184667,4.978208,5.228175,5.863244
15410,1.4,1.390397,-142.25721,1076.999333,1.491479,2.185355,3.43874
15411,1.5,15.492144,-145.358053,1109.8625,15.798913,15.583787,15.510636
15412,1.5,11.991708,-145.358053,315.033,12.382322,12.106636,12.012548
15413,1.5,8.491271,-145.358053,209.845,9.030185,8.648293,8.516391
15414,1.5,4.990834,-145.358053,305.724,5.854288,5.246087,5.026196
15415,1.5,1.490397,-145.358053,1089.260833,3.392236,2.180826,1.581924
15416,1.5,15.492144,-144.357772,1277.616667,15.639811,15.519448,15.542829
15417,1.5,11.991708,-144.357772,332.201333,12.178667,12.023706,12.054088
15418,1.5,8.491271,-144.357772,219.315,8.748844,8.531814,8.574884
15419,1.5,4.990834,-144.357772,327.109333,5.410243,5.051763,5.124682
15420,1.5,1.490397,-144.357772,1249.932222,2.550549,1.659783,1.871418
15421,1.5,15.492144,-143.357491,1277.043889,15.543579,15.519449,15.639066
15422,1.5,11.991708,-143.357491,329.288667,12.054837,12.023706,12.177926
15423,1.5,8.491271,-143.357491,220.128889,8.57563,8.531814,8.748113
15424,1.5,4.990834,-143.357491,327.231333,5.125416,5.051763,5.409548
15425,1.5,1.490397,-143.357491,1249.163889,1.87202,1.659784,2.550107
15426,1.5,15.492144,-142.35721,1103.209167,15.511388,15.583787,15.798175
15427,1.5,11.991708,-142.35721,305.602,12.0133,12.106636,12.381593
15428,1.5,8.491271,-142.35721,210.564167,8.517142,8.648293,9.029477
15429,1.5,4.990834,-142.35721,306.253,5.026944,5.246088,5.853646
15430,1.5,1.490397,-142.35721,1078.451667,1.582638,2.180827,3.391904
15431,1.6,15.392144,-145.258053,1057.496667,15.681993,15.474936,15.41101
15432,1.6,11.941708,-145.258053,316.415333,12.309915,12.04503,11.963006
15433,1.6,8.491271,-145.258053,213.745556,8.997452,8.631506,8.516973
15434,1.6,5.040834,-145.258053,310.907333,5.84682,5.266313,5.076927
