Case,OverlapChecked,TableType,AVG_Lux,W01,W02,W03,W04,W05,W06
26900,False,1,1038,2.127765,3.313202,1.603043,15.46536,15.672624,15.402064
26900,False,1,1059,15.467214,15.402074,15.672312,2.125755,1.603148,3.311734
26900,False,1,244,10.893495,10.801631,11.183592,6.356576,6.201395,6.845057
26900,False,1,250,6.358652,6.201396,6.845057,10.891464,10.801631,11.183592
26900,False,1,1022,2.127766,1.603148,3.311733,15.465208,15.402075,15.672313
27900,False,1,999,15.358837,15.556044,15.303037,2.140859,3.276745,1.711578
27900,False,1,241,10.847997,11.126242,10.769666,6.368279,6.834381,6.237083
27900,False,1,240,6.370006,6.834381,6.237083,10.846173,11.126242,10.769665
27900,False,1,980,2.141889,3.276745,1.711577,15.356977,15.556045,15.303038
27900,False,1,994,15.358837,15.303059,15.555742,2.13984,1.711773,3.275311
27900,False,1,242,10.847998,10.769697,11.12582,6.367937,6.237136,6.833693
27900,False,1,241,6.370006,6.237136,6.833694,10.845972,10.769696,11.125819
27900,False,1,970,2.14189,1.711773,3.275311,15.356835,15.30306,15.555743
28900,False,1,999,15.251002,15.43988,15.204682,2.16403,3.246045,1.824622
28900,False,1,241,10.803336,11.069157,10.738654,6.381335,6.824604,6.274365
28900,False,1,240,6.383081,6.824603,6.274365,10.801504,11.069158,10.738655
28900,False,1,980,2.165177,3.246045,1.824622,15.249136,15.439881,15.204682
28900,False,1,994,15.251002,15.204715,15.439587,2.1631,1.824898,3.244649
28900,False,1,242,10.803337,10.738701,11.068748,6.38102,6.274445,6.82394
28900,False,1,241,6.383081,6.274445,6.82394,10.801317,10.738701,11.068749
28900,False,1,970,2.165178,1.824897,3.244649,15.249004,15.204716,15.439588
29900,False,1,999,15.143719,15.324141,15.10701,2.196082,3.221266,1.94139
29900,False,1,241,10.759524,11.012787,10.708591,6.396101,6.816443,6.313187
29900,False,1,240,6.397867,6.816443,6.313187,10.757681,11.012787,10.708591
29900,False,1,980,2.197338,3.221266,1.941389,15.141848,15.324142,15.107011
29900,False,1,994,15.14372,15.107054,15.323857,2.195241,1.941735,3.219912
29900,False,1,242,10.759524,10.708653,11.012391,6.395813,6.313293,6.815803
29900,False,1,241,6.397867,6.313294,6.815803,10.757509,10.708653,11.012391
29900,False,1,970,2.197339,1.941734,3.219911,15.141726,15.107055,15.323857
30900,False,1,967,16.128225,16.380315,16.009596,2.237195,3.641267,1.118599
30900,False,1,300,12.415466,12.741799,12.261561,5.154773,5.901311,4.776809
30900,False,1,198,8.734958,9.193676,8.515639,8.733263,9.193676,8.515639
30900,False,1,298,5.156234,5.901311,4.77681,12.413688,12.741799,12.261561
30900,False,1,958,2.237311,3.641267,1.118598,16.126406,16.380316,16.009597
30900,False,1,972,16.128225,16.009543,16.379956,2.235695,1.117848,3.639654
30900,False,1,300,12.415467,12.261492,12.741338,5.154122,4.776634,5.900316
30900,False,1,205,8.734959,8.515541,9.193037,8.732879,8.515541,9.193037
30900,False,1,301,5.156235,4.776634,5.900316,12.413418,12.261492,12.741338
30900,False,1,948,2.237313,1.117847,3.639654,16.126198,16.009544,16.379957
31900,False,1,1066,16.016829,16.26143,15.906808,2.196541,3.574713,1.170902
31900,False,1,311,12.35034,12.666513,12.207907,5.163233,5.883261,4.817178
31900,False,1,202,8.712601,9.156059,8.510339,8.710892,9.156059,8.510338
31900,False,1,305,5.164727,5.883261,4.817178,12.348553,12.666513,12.207907
31900,False,1,1049,2.196785,3.574713,1.170901,16.015004,16.261431,15.906809
31900,False,1,1068,16.016829,15.906766,16.26108,2.195089,1.170328,3.573117
31900,False,1,309,12.35034,12.207852,12.666063,5.162616,4.817038,5.882291
31900,False,1,211,8.712601,8.51026,9.155436,8.710526,8.510259,9.155436
31900,False,1,309,5.164728,4.817038,5.882292,12.348295,12.207852,12.666062
31900,False,1,1037,2.196787,1.170327,3.573116,16.014805,15.906767,16.26108
32900,False,1,1066,15.90591,16.142909,15.804618,2.16438,3.512594,1.237238
32900,False,1,311,12.285886,12.59177,12.155045,5.174096,5.867287,4.859783
32900,False,1,202,8.691337,9.119384,8.50621,8.689614,9.119384,8.50621
32900,False,1,305,5.175622,5.867287,4.859783,12.284091,12.59177,12.155044
32900,False,1,1049,2.164756,3.512594,1.237238,15.90408,16.14291,15.804619
32900,False,1,1068,15.905911,15.804586,16.142566,2.162984,1.236831,3.511018
32900,False,1,309,12.285886,12.155003,12.59133,5.173513,4.859679,5.866343
32900,False,1,211,8.691337,8.506151,9.118777,8.689266,8.506151,9.118777
32900,False,1,309,5.175623,4.85968,5.866343,12.283845,12.155003,12.59133
32900,False,1,1037,2.164758,1.23683,3.511018,15.90389,15.804587,16.142567
33900,False,1,1066,15.795479,16.024759,15.703036,2.141095,3.455151,1.315487
33900,False,1,311,12.222114,12.517579,12.102984,5.187346,5.853404,4.904568
33900,False,1,202,8.671173,9.083662,8.503256,8.669437,9.083662,8.503256
33900,False,1,305,5.188903,5.853405,4.904568,12.220311,12.517579,12.102984
33900,False,1,1049,2.141605,3.455151,1.315486,15.793643,16.02476,15.703037
33900,False,1,1068,15.795479,15.703015,16.024424,2.139762,1.315232,3.453597
33900,False,1,309,12.222114,12.102956,12.51715,5.186797,4.904499,5.852487
33900,False,1,211,8.671174,8.503216,9.083071,8.669108,8.503216,9.083071
33900,False,1,309,5.188904,4.904499,5.852487,12.220078,12.102956,12.51715
33900,False,1,1037,2.141607,1.315231,3.453596,15.793462,15.703016,16.024425
34900,False,1,1060,15.685546,15.906989,15.602075,2.126978,3.402619,1.403658
34900,False,1,320,12.159036,12.44395,12.051736,5.202966,5.841629,4.951472
34900,False,1,206,8.652119,9.048904,8.501477,8.650369,9.048904,8.501476
34900,False,1,316,5.204552,5.84163,4.951472,12.157225,12.44395,12.051736
34900,False,1,1038,2.127622,3.402619,1.403657,15.683704,15.90699,15.602076
34900,False,1,1059,15.685546,15.602064,15.906662,2.125716,1.403538,3.40109
34900,False,1,316,12.159037,12.051722,12.443532,5.20245,4.951438,5.840739
34900,False,1,218,8.652119,8.501457,9.048329,8.650059,8.501457,9.048329
34900,False,1,315,5.204553,4.951438,5.840739,12.157004,12.051722,12.443532
34900,False,1,1022,2.127624,1.403537,3.40109,15.683532,15.602065,15.906663
35900,False,1,1060,15.57612,15.789608,15.501747,2.122212,3.355229,1.500001
35900,False,1,320,12.096663,12.370894,12.001311,5.220933,5.831975,5.000437
35900,False,1,206,8.634181,9.015121,8.500874,8.632417,9.015121,8.500873
35900,False,1,316,5.222549,5.831975,5.000437,12.094843,12.370894,12.00131
35900,False,1,1038,2.122988,3.355229,1.5,15.574272,15.789608,15.501747
35900,False,1,1059,15.57612,15.501747,15.789289,2.121026,1.5,3.353729
35900,False,1,316,12.096663,12.001311,12.370487,5.220451,5.000436,5.831111
35900,False,1,218,8.634181,8.500874,9.014563,8.632126,8.500873,9.014563
35900,False,1,315,5.22255,5.000437,5.831112,12.094635,12.00131,12.370487
35900,False,1,1022,2.12299,1.5,3.353729,15.574111,15.501747,15.78929
36900,False,1,1060,15.467214,15.672623,15.402063,2.126859,3.313203,1.603044
36900,False,1,299,12.035005,12.29842,11.951718,5.241225,5.82445,5.051402
36900,False,1,206,8.617366,8.982325,8.501447,8.615589,8.982325,8.501447
36900,False,1,295,5.242869,5.82445,5.051402,12.033177,12.29842,11.951718
36900,False,1,1038,2.127765,3.313202,1.603043,15.46536,15.672624,15.402064
36900,False,1,1059,15.467214,15.402074,15.672312,2.125755,1.603148,3.311734
36900,False,1,293,12.035005,11.951732,12.298024,5.240777,5.051435,5.823615
36900,False,1,218,8.617366,8.501467,8.981783,8.615317,8.501466,8.981783
36900,False,1,295,5.242869,5.051435,5.823615,12.032982,11.951732,12.298024
36900,False,1,1022,2.127766,1.603148,3.311733,15.465208,15.402075,15.672313
37900,False,1,999,15.358837,15.556044,15.303037,2.140859,3.276745,1.711578
37900,False,1,305,11.974074,12.226539,11.90297,5.263813,5.819064,5.104307
37900,False,1,211,8.601681,8.950526,8.503196,8.599891,8.950526,8.503196
37900,False,1,302,5.265485,5.819065,5.104307,11.972237,12.226539,11.90297
37900,False,1,980,2.141889,3.276745,1.711577,15.356977,15.556045,15.303038
37900,False,1,994,15.358837,15.303059,15.555742,2.13984,1.711773,3.275311
37900,False,1,301,11.974074,11.902998,12.226155,5.263399,5.104372,5.818257
37900,False,1,221,8.601681,8.503236,8.950001,8.599637,8.503236,8.950001
37900,False,1,300,5.265485,5.104373,5.818257,11.972055,11.902998,12.226154
37900,False,1,970,2.14189,1.711773,3.275311,15.356835,15.30306,15.555743
38900,False,1,999,15.251002,15.43988,15.204682,2.16403,3.246045,1.824622
38900,False,1,305,11.91388,12.155261,11.855075,5.288669,5.815823,5.159093
38900,False,1,211,8.587131,8.919734,8.506121,8.585329,8.919734,8.506121
38900,False,1,302,5.290367,5.815824,5.159093,11.912035,12.155261,11.855075
38900,False,1,980,2.165177,3.246045,1.824622,15.249136,15.439881,15.204682
38900,False,1,994,15.251002,15.204715,15.439587,2.1631,1.824898,3.244649
38900,False,1,301,11.91388,11.855118,12.154888,5.288288,5.15919,5.815044
38900,False,1,221,8.587132,8.50618,8.919226,8.585095,8.50618,8.919226
38900,False,1,300,5.290367,5.159191,5.815045,11.911866,11.855117,12.154888
38900,False,1,970,2.165178,1.824897,3.244649,15.249004,15.204716,15.439588
39900,False,1,999,15.143719,15.324141,15.10701,2.196082,3.221266,1.94139
39900,False,1,305,11.854435,12.084597,11.808045,5.315761,5.814731,5.215701
39900,False,1,211,8.573724,8.889961,8.51022,8.571909,8.889961,8.51022
39900,False,1,302,5.317484,5.814731,5.215701,11.852582,12.084597,11.808045
39900,False,1,980,2.197338,3.221266,1.941389,15.141848,15.324142,15.107011
39900,False,1,994,15.14372,15.107054,15.323857,2.195241,1.941735,3.219912
39900,False,1,301,11.854435,11.808102,12.084236,5.315414,5.215829,5.81398
39900,False,1,221,8.573724,8.510299,8.88947,8.571694,8.510299,8.88947
39900,False,1,300,5.317484,5.215829,5.813981,11.852426,11.808102,12.084236
39900,False,1,970,2.197339,1.941734,3.219911,15.141726,15.107055,15.323857
40900,False,1,967,16.128225,16.380315,16.009596,2.237195,3.641267,1.118599
40900,False,1,372,13.156308,13.464589,13.011057,4.473012,5.316166,4.031632
40900,False,1,216,10.201051,10.596216,10.013603,7.281128,7.827426,7.018621
40900,False,1,219,7.282761,7.827426,7.018621,10.199314,10.596216,10.013602
40900,False,1,369,4.474371,5.316166,4.031632,13.154519,13.464589,13.011057
40900,False,1,958,2.237311,3.641267,1.118598,16.126406,16.380316,16.009597
40900,False,1,972,16.128225,16.009543,16.379956,2.235695,1.117848,3.639654
40900,False,1,370,13.156308,13.010992,13.464153,4.472262,4.031424,5.315061
40900,False,1,216,10.201051,10.013519,10.595662,7.280667,7.018501,7.826676
40900,False,1,218,7.282762,7.018502,7.826676,10.198985,10.013518,10.595662
40900,False,1,370,4.474372,4.031424,5.315061,13.154264,13.010992,13.464153
40900,False,1,948,2.237313,1.117847,3.639654,16.126198,16.009544,16.379957
41900,False,1,1066,16.016829,16.26143,15.906808,2.196541,3.574713,1.170902
41900,False,1,391,13.082108,13.380895,12.947617,4.483439,5.296698,4.080128
41900,False,1,219,10.162265,10.544662,9.989111,7.273582,7.801204,7.032156
41900,False,1,226,7.275234,7.801204,7.032156,10.160518,10.544662,9.989111
41900,False,1,389,4.484839,5.296698,4.080129,13.080312,13.380894,12.947617
41900,False,1,1049,2.196785,3.574713,1.170901,16.015004,16.261431,15.906809
41900,False,1,1068,16.016829,15.906766,16.26108,2.195089,1.170328,3.573117
41900,False,1,389,13.082108,12.947565,13.380468,4.482728,4.079964,5.295621
41900,False,1,220,10.162266,9.989044,10.544121,7.273144,7.03206,7.800472
41900,False,1,221,7.275235,7.032061,7.800472,10.160204,9.989044,10.544121
41900,False,1,387,4.48484,4.079964,5.295621,13.080068,12.947565,13.380468
41900,False,1,1037,2.196787,1.170327,3.573116,16.014805,15.906767,16.26108
42900,False,1,1066,15.90591,16.142909,15.804618,2.16438,3.512594,1.237238
42900,False,1,358,13.008531,13.297696,12.88492,4.496868,5.279735,4.131348
42900,False,1,219,10.124358,10.493846,9.965603,7.26746,7.77623,7.047141
42900,False,1,226,7.26913,7.77623,7.047141,10.1226,10.493846,9.965603
42900,False,1,358,4.498308,5.279735,4.131348,13.006727,13.297696,12.88492
42900,False,1,1049,2.164756,3.512594,1.237238,15.90408,16.14291,15.804619
42900,False,1,1068,15.905911,15.804586,16.142566,2.162984,1.236831,3.511018
42900,False,1,356,13.008531,12.884881,13.29728,4.496196,4.131226,5.278686
42900,False,1,220,10.124359,9.965553,10.493319,7.267044,7.047069,7.775518
42900,False,1,221,7.269131,7.047069,7.775518,10.122301,9.965552,10.493318
42900,False,1,351,4.498309,4.131226,5.278686,13.006494,12.884881,13.29728
42900,False,1,1037,2.164758,1.23683,3.511018,15.90389,15.804587,16.142567
43900,False,1,1066,15.795479,16.024759,15.703036,2.141095,3.455151,1.315487
43900,False,1,358,12.935586,13.215003,12.822977,4.51327,5.2653,4.185191
43900,False,1,219,10.08734,10.443779,9.943086,7.262764,7.752518,7.063566
43900,False,1,226,7.264453,7.752518,7.063566,10.08557,10.443779,9.943085
43900,False,1,358,4.51475,5.265301,4.185192,12.933774,13.215003,12.822977
43900,False,1,1049,2.141605,3.455151,1.315486,15.793643,16.02476,15.703037
43900,False,1,1068,15.795479,15.703015,16.024424,2.139762,1.315232,3.453597
43900,False,1,356,12.935586,12.822951,13.214597,4.512638,4.185111,5.264281
43900,False,1,220,10.08734,9.943052,10.443265,7.262372,7.063519,7.751825
43900,False,1,221,7.264453,7.063519,7.751825,10.085288,9.943052,10.443264
43900,False,1,351,4.514751,4.185111,5.264281,12.933554,12.822951,13.214596
43900,False,1,1037,2.141607,1.315231,3.453596,15.793462,15.703016,16.024425
44900,False,1,1060,15.685546,15.906989,15.602075,2.126978,3.402619,1.403658
44900,False,1,374,12.863285,13.132825,12.761799,4.532615,5.253416,4.241558
44900,False,1,223,10.05122,10.394471,9.921565,7.259499,7.730078,7.081422
44900,False,1,227,7.261205,7.730078,7.081423,10.04944,10.39447,9.921565
44900,False,1,372,4.534132,5.253416,4.241558,12.861466,13.132824,12.761799
44900,False,1,1038,2.127622,3.402619,1.403657,15.683704,15.90699,15.602076
44900,False,1,1059,15.685546,15.602064,15.906662,2.125716,1.403538,3.40109
44900,False,1,370,12.863285,12.761786,13.132429,4.532023,4.241519,5.252426
44900,False,1,227,10.05122,9.921548,10.39397,7.259129,7.081399,7.729405
